dataset,train_size,test_size,val_accuracy,val_precision,val_recall,val_f1,val_auroc,best_threshold,best_epoch,accuracy,auroc,avg_uncertainty_overall,avg_uncertainty_correct,avg_uncertainty_incorrect,selective_accuracy_80,kept_count_80,kept_ratio_80
nq,100,100,0.0,0.0,0.0,0.0,,0.05,1,0.0,,0.55,0.0,0.55,0.0,80,0.8
popqa,100,100,0.0,0.0,0.0,0.0,,0.05,1,0.0,,0.58,0.0,0.58,0.0,80,0.8
squad,100,100,0.86,0.52,0.87,0.65,0.89,0.4,5,0.53,0.69,0.5,0.48,0.53,0.57,80,0.8
triviaqa,100,100,0.95,0.5,0.6,0.55,0.82,0.55,8,0.04,0.7,0.56,0.53,0.57,0.05,80,0.8
webq,100,100,0.06,0.02,1.0,0.04,0.09,0.15,4,0.05,0.67,0.52,0.48,0.52,0.06,80,0.8
