dataset,train_size,test_size,val_accuracy,val_precision,val_recall,val_f1,val_auroc,best_threshold,best_epoch,accuracy,auroc,avg_uncertainty_overall,avg_uncertainty_correct,avg_uncertainty_incorrect,selective_accuracy_80,kept_count_80,kept_ratio_80
nq,100,100,0.0,0.0,0.0,0.0,,0.05,1,0.0,,0.5508179825299266,0.0,0.5508179825299266,0.0,80,0.8
popqa,100,100,0.0,0.0,0.0,0.0,,0.05,1,0.0,,0.5757565175584227,0.0,0.5757565175584227,0.0,80,0.8
squad,100,100,0.86,0.52,0.8666666666666667,0.65,0.8870588235294118,0.4,5,0.53,0.6886792452830188,0.5028050265850443,0.4765581007309534,0.532402623824764,0.575,80,0.8
triviaqa,100,100,0.95,0.5,0.6,0.5454545454545454,0.8168421052631579,0.55,8,0.04,0.6979166666666666,0.5638755634049075,0.5309476222201093,0.565247560954274,0.05,80,0.8
webq,100,100,0.06,0.020833333333333332,1.0,0.04081632653061224,0.0918367346938776,0.15000000000000002,4,0.05,0.6673684210526316,0.5215923781146202,0.48089566279705825,0.5237343104997549,0.0625,80,0.8
