dataset,train_size,test_size,val_accuracy,val_precision,val_recall,val_f1,val_auroc,best_threshold,best_epoch,accuracy,auroc,avg_uncertainty_overall,avg_uncertainty_correct,avg_uncertainty_incorrect,selective_accuracy_80,kept_count_80,predictions_csv,metrics_json
nq,50,50,0.96,1.0,0.7777777777777778,0.875,0.978319783197832,0.8,6,0.6,0.9866666666666667,0.24303207350234085,0.18572998359724793,0.32898520835998035,0.75,40,outputs\five_datasets\nq\test_predictions.csv,outputs\five_datasets\nq\metrics.json
triviaqa,50,50,0.88,0.3333333333333333,1.0,0.5,0.8865248226950355,0.5,6,0.06,0.47517730496453897,0.4011464878600476,0.40952728593951687,0.4006115433017835,0.05,40,outputs\five_datasets\triviaqa\test_predictions.csv,outputs\five_datasets\triviaqa\metrics.json
webq,50,50,0.98,1.0,0.9090909090909091,0.9523809523809523,0.9324009324009324,0.55,1,0.78,0.15617715617715616,0.3018161209564979,0.3167415524341555,0.24889868208116656,0.75,40,outputs\five_datasets\webq\test_predictions.csv,outputs\five_datasets\webq\metrics.json
squad,50,50,0.98,0.8888888888888888,1.0,0.9411764705882353,0.9791666666666666,0.6000000000000001,3,0.5,0.6831999999999999,0.36762489667289977,0.35914121069535504,0.37610858265044445,0.575,40,outputs\five_datasets\squad\test_predictions.csv,outputs\five_datasets\squad\metrics.json
popqa,50,50,0.0,0.0,0.0,0.0,,0.05,1,0.04,0.53125,0.3379318047001145,0.3204016020935797,0.3386622298087201,0.05,40,outputs\five_datasets\popqa\test_predictions.csv,outputs\five_datasets\popqa\metrics.json
